"","gene_id","gene_name","n_signif","n_rank"
"ENSG00000187608","ENSG00000187608","ISG15",3,3
"ENSG00000078369","ENSG00000078369","GNB1",3,3
"ENSG00000187730","ENSG00000187730","GABRD",3,3
"ENSG00000067606","ENSG00000067606","PRKCZ",3,3
"ENSG00000158109","ENSG00000158109","TPRG1L",2,3
"ENSG00000069424","ENSG00000069424","KCNAB2",3,3
"ENSG00000116254","ENSG00000116254","CHD5",3,3
"ENSG00000097021","ENSG00000097021","ACOT7",3,3
"ENSG00000171735","ENSG00000171735","CAMTA1",2,3
"ENSG00000074800","ENSG00000074800","ENO1",3,3
"ENSG00000171603","ENSG00000171603","CLSTN1",3,3
"ENSG00000054523","ENSG00000054523","KIF1B",2,3
"ENSG00000116661","ENSG00000116661","FBXO2",3,3
"ENSG00000142634","ENSG00000142634","EFHD2",3,3
"ENSG00000159363","ENSG00000159363","ATP13A2",3,3
"ENSG00000173436","ENSG00000173436","MINOS1",3,3
"ENSG00000162545","ENSG00000162545","CAMK2N1",3,3
"ENSG00000158828","ENSG00000158828","PINK1",3,3
"ENSG00000075151","ENSG00000075151","EIF4G3",3,3
"ENSG00000076864","ENSG00000076864","RAP1GAP",2,3
"ENSG00000070831","ENSG00000070831","CDC42",2,3
"ENSG00000142676","ENSG00000142676","RPL11",3,3
"ENSG00000117643","ENSG00000117643","MAN1C1",2,3
"ENSG00000117632","ENSG00000117632","STMN1",3,3
"ENSG00000198830","ENSG00000198830","HMGN2",3,3
"ENSG00000130770","ENSG00000130770","ATP5IF1",3,3
"ENSG00000121769","ENSG00000121769","FABP3",3,3
"ENSG00000121753","ENSG00000121753","ADGRB2",3,3
"ENSG00000175130","ENSG00000175130","MARCKSL1",3,3
"ENSG00000134684","ENSG00000134684","YARS",2,3
"ENSG00000121905","ENSG00000121905","HPCA",3,3
"ENSG00000020129","ENSG00000020129","NCDN",3,3
"ENSG00000168653","ENSG00000168653","NDUFS5",3,3
"ENSG00000116983","ENSG00000116983","HPCAL4",3,3
"ENSG00000117016","ENSG00000117016","RIMS3",3,3
"ENSG00000066322","ENSG00000066322","ELOVL1",3,3
"ENSG00000117410","ENSG00000117410","ATP6V0B",3,3
"ENSG00000142937","ENSG00000142937","RPS8",3,3
"ENSG00000173660","ENSG00000173660","UQCRH",3,3
"ENSG00000186160","ENSG00000186160","CYP4Z1",3,3
"ENSG00000162373","ENSG00000162373","BEND5",3,3
"ENSG00000162374","ENSG00000162374","ELAVL4",3,3
"ENSG00000123091","ENSG00000123091","RNF11",3,3
"ENSG00000085832","ENSG00000085832","EPS15",3,3
"ENSG00000162378","ENSG00000162378","ZYG11B",2,3
"ENSG00000116209","ENSG00000116209","TMEM59",3,3
"ENSG00000157216","ENSG00000157216","SSBP3",3,3
"ENSG00000116133","ENSG00000116133","DHCR24",3,3
"ENSG00000116675","ENSG00000116675","DNAJC6",3,3
"ENSG00000172260","ENSG00000172260","NEGR1",3,3
"ENSG00000117069","ENSG00000117069","ST6GALNAC5",3,3
"ENSG00000154027","ENSG00000154027","AK5",3,3
"ENSG00000137941","ENSG00000137941","TTLL7",3,3
"ENSG00000142875","ENSG00000142875","PRKACB",2,3
"ENSG00000117155","ENSG00000117155","SSX2IP",2,3
"ENSG00000143013","ENSG00000143013","LMO4",3,3
"ENSG00000197147","ENSG00000197147","LRRC8B",2,3
"ENSG00000189195","ENSG00000189195","BTBD8",3,3
"ENSG00000122406","ENSG00000122406","RPL5",2,3
"ENSG00000117519","ENSG00000117519","CNN3",3,3
"ENSG00000117600","ENSG00000117600","PLPPR4",3,3
"ENSG00000031698","ENSG00000031698","SARS",3,3
"ENSG00000134243","ENSG00000134243","SORT1",3,3
"ENSG00000197106","ENSG00000197106","SLC6A17",3,3
"ENSG00000177301","ENSG00000177301","KCNA2",3,3
"ENSG00000009307","ENSG00000009307","CSDE1",2,3
"ENSG00000163399","ENSG00000163399","ATP1A1",3,3
"ENSG00000159164","ENSG00000159164","SV2A",3,3
"ENSG00000143420","ENSG00000143420","ENSA",2,3
"ENSG00000143418","ENSG00000143418","CERS2",3,3
"ENSG00000213190","ENSG00000213190","MLLT11",3,3
"ENSG00000159377","ENSG00000159377","PSMB4",2,3
"ENSG00000197747","ENSG00000197747","S100A10",3,3
"ENSG00000163191","ENSG00000163191","S100A11",3,3
"ENSG00000188643","ENSG00000188643","S100A16",3,3
"ENSG00000189171","ENSG00000189171","S100A13",3,3
"ENSG00000160678","ENSG00000160678","S100A1",2,3
"ENSG00000177954","ENSG00000177954","RPS27",3,3
"ENSG00000169242","ENSG00000169242","EFNA1",3,3
"ENSG00000185499","ENSG00000185499","MUC1",3,3
"ENSG00000160753","ENSG00000160753","RUSC1",3,3
"ENSG00000132718","ENSG00000132718","SYT11",3,3
"ENSG00000160781","ENSG00000160781","PAQR6",2,3
"ENSG00000125462","ENSG00000125462","C1orf61",3,3
"ENSG00000116604","ENSG00000116604","MEF2D",3,3
"ENSG00000132702","ENSG00000132702","HAPLN2",2,3
"ENSG00000143320","ENSG00000143320","CRABP2",3,3
"ENSG00000132694","ENSG00000132694","ARHGEF11",2,3
"ENSG00000162706","ENSG00000162706","CADM3",3,3
"ENSG00000158716","ENSG00000158716","DUSP23",2,3
"ENSG00000158710","ENSG00000158710","TAGLN2",3,3
"ENSG00000162729","ENSG00000162729","IGSF8",3,3
"ENSG00000018625","ENSG00000018625","ATP1A2",3,3
"ENSG00000162734","ENSG00000162734","PEA15",3,3
"ENSG00000215845","ENSG00000215845","TSTD1",3,3
"ENSG00000158859","ENSG00000158859","ADAMTS4",3,3
"ENSG00000158864","ENSG00000158864","NDUFS2",3,3
"ENSG00000117152","ENSG00000117152","RGS4",3,3
"ENSG00000143198","ENSG00000143198","MGST3",3,3
"ENSG00000143158","ENSG00000143158","MPC2",3,3
"ENSG00000143164","ENSG00000143164","DCAF6",2,3
"ENSG00000143153","ENSG00000143153","ATP1B1",3,3
"ENSG00000143156","ENSG00000143156","NME7",2,3
"ENSG00000075945","ENSG00000075945","KIFAP3",3,3
"ENSG00000116161","ENSG00000116161","CACYBP",3,3
"ENSG00000135821","ENSG00000135821","GLUL",3,3
"ENSG00000157064","ENSG00000157064","NMNAT2",2,3
"ENSG00000162630","ENSG00000162630","B3GALT2",2,3
"ENSG00000159176","ENSG00000159176","CSRP1",2,3
"ENSG00000134375","ENSG00000134375","TIMM17A",3,3
"ENSG00000170075","ENSG00000170075","GPR37L1",2,3
"ENSG00000163485","ENSG00000163485","ADORA1",2,3
"ENSG00000058668","ENSG00000058668","ATP2B4",2,3
"ENSG00000184144","ENSG00000184144","CNTN2",3,3
"ENSG00000133069","ENSG00000133069","TMCC2",2,3
"ENSG00000117266","ENSG00000117266","CDK18",3,3
"ENSG00000174514","ENSG00000174514","MFSD4A",3,3
"ENSG00000008118","ENSG00000008118","CAMK1G",3,3
"ENSG00000123689","ENSG00000123689","G0S2",3,3
"ENSG00000143473","ENSG00000143473","KCNH1",2,3
"ENSG00000117691","ENSG00000117691","NENF",3,3
"ENSG00000143499","ENSG00000143499","SMYD2",3,3
"ENSG00000162817","ENSG00000162817","C1orf115",3,3
"ENSG00000163041","ENSG00000163041","H3F3A",3,3
"ENSG00000143761","ENSG00000143761","ARF1",3,3
"ENSG00000168159","ENSG00000168159","RNF187",3,3
"ENSG00000116574","ENSG00000116574","RHOU",2,3
"ENSG00000177614","ENSG00000177614","PGBD5",2,3
"ENSG00000135744","ENSG00000135744","AGT",3,3
"ENSG00000054277","ENSG00000054277","OPN3",2,3
"ENSG00000117020","ENSG00000117020","AKT3",2,3
"ENSG00000179456","ENSG00000179456","ZBTB18",3,3
"ENSG00000186487","ENSG00000186487","MYT1L",3,3
"ENSG00000119185","ENSG00000119185","ITGB1BP1",2,3
"ENSG00000134308","ENSG00000134308","YWHAQ",3,3
"ENSG00000115756","ENSG00000115756","HPCAL1",3,3
"ENSG00000162975","ENSG00000162975","KCNF1",3,3
"ENSG00000134318","ENSG00000134318","ROCK2",2,3
"ENSG00000162981","ENSG00000162981","FAM84A",3,3
"ENSG00000079785","ENSG00000079785","DDX1",2,3
"ENSG00000197872","ENSG00000197872","FAM49A",3,3
"ENSG00000163032","ENSG00000163032","VSNL1",3,3
"ENSG00000084710","ENSG00000084710","EFR3B",2,3
"ENSG00000084731","ENSG00000084731","KIF3C",3,3
"ENSG00000084764","ENSG00000084764","MAPRE3",3,3
"ENSG00000115194","ENSG00000115194","SLC30A3",3,3
"ENSG00000243147","ENSG00000243147","MRPL33",3,3
"ENSG00000119801","ENSG00000119801","YPEL5",2,3
"ENSG00000013016","ENSG00000013016","EHD3",3,3
"ENSG00000152154","ENSG00000152154","TMEM178A",3,3
"ENSG00000138078","ENSG00000138078","PREPL",3,3
"ENSG00000171132","ENSG00000171132","PRKCE",3,3
"ENSG00000143933","ENSG00000143933","CALM2",3,3
"ENSG00000179915","ENSG00000179915","NRXN1",3,3
"ENSG00000115306","ENSG00000115306","SPTBN1",3,3
"ENSG00000115310","ENSG00000115310","RTN4",3,3
"ENSG00000143947","ENSG00000143947","RPS27A",3,3
"ENSG00000115355","ENSG00000115355","CCDC88A",3,3
"ENSG00000163001","ENSG00000163001","CFAP36",3,3
"ENSG00000119866","ENSG00000119866","BCL11A",2,3
"ENSG00000014641","ENSG00000014641","MDH1",3,3
"ENSG00000169764","ENSG00000169764","UGP2",3,3
"ENSG00000138069","ENSG00000138069","RAB1A",3,3
"ENSG00000138071","ENSG00000138071","ACTR2",3,3
"ENSG00000221823","ENSG00000221823","PPP3R1",3,3
"ENSG00000119865","ENSG00000119865","CNRIP1",3,3
"ENSG00000115977","ENSG00000115977","AAK1",3,3
"ENSG00000169564","ENSG00000169564","PCBP1",2,3
"ENSG00000075340","ENSG00000075340","ADD2",3,3
"ENSG00000124374","ENSG00000124374","PAIP2B",2,3
"ENSG00000144040","ENSG00000144040","SFXN5",3,3
"ENSG00000204843","ENSG00000204843","DCTN1",3,3
"ENSG00000176204","ENSG00000176204","LRRTM4",3,3
"ENSG00000066032","ENSG00000066032","CTNNA2",3,3
"ENSG00000162951","ENSG00000162951","LRRTM1",2,3
"ENSG00000034510","ENSG00000034510","TMSB10",3,3
"ENSG00000176407","ENSG00000176407","KCMF1",2,3
"ENSG00000211592","ENSG00000211592","IGKC",3,3
"ENSG00000172005","ENSG00000172005","MAL",3,3
"ENSG00000084090","ENSG00000084090","STARD7",2,3
"ENSG00000135940","ENSG00000135940","COX5B",3,3
"ENSG00000040933","ENSG00000040933","INPP4A",3,3
"ENSG00000196872","ENSG00000196872","KIAA1211L",3,3
"ENSG00000170500","ENSG00000170500","LONRF2",3,3
"ENSG00000175874","ENSG00000175874","CREG2",3,3
"ENSG00000175701","ENSG00000175701","SMIM37",3,3
"ENSG00000144119","ENSG00000144119","C1QL2",3,3
"ENSG00000136717","ENSG00000136717","BIN1",3,3
"ENSG00000136720","ENSG00000136720","HS6ST1",3,3
"ENSG00000115762","ENSG00000115762","PLEKHB2",3,3
"ENSG00000048991","ENSG00000048991","R3HDM1",3,3
"ENSG00000168280","ENSG00000168280","KIF5C",3,3
"ENSG00000157827","ENSG00000157827","FMNL2",3,3
"ENSG00000136541","ENSG00000136541","ERMN",3,3
"ENSG00000136535","ENSG00000136535","TBR1",3,3
"ENSG00000144290","ENSG00000144290","SLC4A10",3,3
"ENSG00000136531","ENSG00000136531","SCN2A",2,3
"ENSG00000178662","ENSG00000178662","CSRNP3",2,3
"ENSG00000144285","ENSG00000144285","SCN1A",3,3
"ENSG00000198648","ENSG00000198648","STK39",2,3
"ENSG00000128683","ENSG00000128683","GAD1",2,3
"ENSG00000077380","ENSG00000077380","DYNC1I2",2,3
"ENSG00000091428","ENSG00000091428","RAPGEF4",2,3
"ENSG00000138430","ENSG00000138430","OLA1",3,3
"ENSG00000128656","ENSG00000128656","CHN1",3,3
"ENSG00000154518","ENSG00000154518","ATP5MC3",3,3
"ENSG00000138434","ENSG00000138434","SSFA2",3,3
"ENSG00000061676","ENSG00000061676","NCKAP1",3,3
"ENSG00000144369","ENSG00000144369","FAM171B",3,3
"ENSG00000168542","ENSG00000168542","COL3A1",3,3
"ENSG00000204262","ENSG00000204262","COL5A2",2,3
"ENSG00000115419","ENSG00000115419","GLS",3,3
"ENSG00000144339","ENSG00000144339","TMEFF2",2,3
"ENSG00000196950","ENSG00000196950","SLC39A10",3,3
"ENSG00000144381","ENSG00000144381","HSPD1",2,3
"ENSG00000119042","ENSG00000119042","SATB2",3,3
"ENSG00000119013","ENSG00000119013","NDUFB3",2,3
"ENSG00000188674","ENSG00000188674","C2orf80",3,3
"ENSG00000078018","ENSG00000078018","MAP2",3,3
"ENSG00000115414","ENSG00000115414","FN1",3,3
"ENSG00000197756","ENSG00000197756","RPL37A",3,3
"ENSG00000115461","ENSG00000115461","IGFBP5",3,3
"ENSG00000171450","ENSG00000171450","CDK5R2",3,3
"ENSG00000144567","ENSG00000144567","RETREG2",3,3
"ENSG00000127824","ENSG00000127824","TUBA4A",3,3
"ENSG00000054356","ENSG00000054356","PTPRN",3,3
"ENSG00000116106","ENSG00000116106","EPHA4",3,3
"ENSG00000123983","ENSG00000123983","ACSL3",3,3
"ENSG00000171951","ENSG00000171951","SCG2",3,3
"ENSG00000135919","ENSG00000135919","SERPINE2",3,3
"ENSG00000187957","ENSG00000187957","DNER",3,3
"ENSG00000135932","ENSG00000135932","CAB39",3,3
"ENSG00000135916","ENSG00000135916","ITM2C",3,3
"ENSG00000187514","ENSG00000187514","PTMA",3,3
"ENSG00000115468","ENSG00000115468","EFHD1",3,3
"ENSG00000182600","ENSG00000182600","SNORC",3,3
"ENSG00000066248","ENSG00000066248","NGEF",3,3
"ENSG00000198612","ENSG00000198612","COPS8",3,3
"ENSG00000115648","ENSG00000115648","MLPH",3,3
"ENSG00000172428","ENSG00000172428","COPS9",3,3
"ENSG00000130294","ENSG00000130294","KIF1A",3,3
"ENSG00000115685","ENSG00000115685","PPP1R7",2,3
"ENSG00000176720","ENSG00000176720","BOK",2,3
"ENSG00000134121","ENSG00000134121","CHL1",3,3
"ENSG00000150995","ENSG00000150995","ITPR1",3,3
"ENSG00000157087","ENSG00000157087","ATP2B2",3,3
"ENSG00000157103","ENSG00000157103","SLC6A1",2,3
"ENSG00000157152","ENSG00000157152","SYN2",3,3
"ENSG00000144713","ENSG00000144713","RPL32",3,3
"ENSG00000144711","ENSG00000144711","IQSEC1",2,3
"ENSG00000182568","ENSG00000182568","SATB1",3,3
"ENSG00000174748","ENSG00000174748","RPL15",2,3
"ENSG00000151090","ENSG00000151090","THRB",2,3
"ENSG00000153558","ENSG00000153558","FBXL2",3,3
"ENSG00000163539","ENSG00000163539","CLASP2",2,3
"ENSG00000172995","ENSG00000172995","ARPP21",3,3
"ENSG00000168314","ENSG00000168314","MOBP",3,3
"ENSG00000170011","ENSG00000170011","MYRIP",2,3
"ENSG00000114784","ENSG00000114784","EIF1B",2,3
"ENSG00000188846","ENSG00000188846","RPL14",3,3
"ENSG00000187094","ENSG00000187094","CCK",3,3
"ENSG00000012223","ENSG00000012223","LTF",3,3
"ENSG00000047849","ENSG00000047849","MAP4",3,3
"ENSG00000164050","ENSG00000164050","PLXNB1",2,3
"ENSG00000232112","ENSG00000232112","TMA7",3,3
"ENSG00000010256","ENSG00000010256","UQCRC1",3,3
"ENSG00000178467","ENSG00000178467","P4HTM",2,3
"ENSG00000164061","ENSG00000164061","BSN",3,3
"ENSG00000164076","ENSG00000164076","CAMKV",3,3
"ENSG00000248487","ENSG00000248487","ABHD14A",3,3
"ENSG00000162244","ENSG00000162244","RPL29",3,3
"ENSG00000010322","ENSG00000010322","NISCH",2,3
"ENSG00000168309","ENSG00000168309","FAM107A",3,3
"ENSG00000163618","ENSG00000163618","CADPS",3,3
"ENSG00000163630","ENSG00000163630","SYNPR",3,3
"ENSG00000144746","ENSG00000144746","ARL6IP5",3,3
"ENSG00000175161","ENSG00000175161","CADM2",3,3
"ENSG00000269028","ENSG00000269028","MTRNR2L12",3,3
"ENSG00000080822","ENSG00000080822","CLDND1",3,3
"ENSG00000144834","ENSG00000144834","TAGLN3",3,3
"ENSG00000114573","ENSG00000114573","ATP6V1A",3,3
"ENSG00000172020","ENSG00000172020","GAP43",3,3
"ENSG00000138495","ENSG00000138495","COX17",2,3
"ENSG00000065518","ENSG00000065518","NDUFB4",2,3
"ENSG00000160145","ENSG00000160145","KALRN",3,3
"ENSG00000074416","ENSG00000074416","MGLL",2,3
"ENSG00000075785","ENSG00000075785","RAB7A",2,3
"ENSG00000017260","ENSG00000017260","ATP2C1",2,3
"ENSG00000196353","ENSG00000196353","CPNE4",3,3
"ENSG00000091513","ENSG00000091513","TF",3,3
"ENSG00000154917","ENSG00000154917","RAB6B",3,3
"ENSG00000158258","ENSG00000158258","CLSTN2",3,3
"ENSG00000153002","ENSG00000153002","CPB1",3,3
"ENSG00000070087","ENSG00000070087","PFN2",3,3
"ENSG00000169282","ENSG00000169282","KCNAB1",3,3
"ENSG00000180044","ENSG00000180044","C3orf80",2,3
"ENSG00000163536","ENSG00000163536","SERPINI1",3,3
"ENSG00000008952","ENSG00000008952","SEC62",3,3
"ENSG00000013297","ENSG00000013297","CLDN11",3,3
"ENSG00000121858","ENSG00000121858","TNFSF10",3,3
"ENSG00000144959","ENSG00000144959","NCEH1",3,3
"ENSG00000136521","ENSG00000136521","NDUFB5",2,3
"ENSG00000114757","ENSG00000114757","PEX5L",3,3
"ENSG00000161203","ENSG00000161203","AP2M1",3,3
"ENSG00000175182","ENSG00000175182","FAM131A",3,3
"ENSG00000156976","ENSG00000156976","EIF4A2",3,3
"ENSG00000157005","ENSG00000157005","SST",3,3
"ENSG00000114279","ENSG00000114279","FGF12",3,3
"ENSG00000198836","ENSG00000198836","OPA1",2,3
"ENSG00000189058","ENSG00000189058","APOD",3,3
"ENSG00000182899","ENSG00000182899","RPL35A",2,3
"ENSG00000169020","ENSG00000169020","ATP5ME",3,3
"ENSG00000168993","ENSG00000168993","CPLX1",3,3
"ENSG00000159692","ENSG00000159692","CTBP1",3,3
"ENSG00000243449","ENSG00000243449","C4orf48",3,3
"ENSG00000185818","ENSG00000185818","NAT8L",3,3
"ENSG00000159788","ENSG00000159788","RGS12",2,3
"ENSG00000163956","ENSG00000163956","LRPAP1",3,3
"ENSG00000168824","ENSG00000168824","NSG1",3,3
"ENSG00000072832","ENSG00000072832","CRMP1",3,3
"ENSG00000152969","ENSG00000152969","JAKMIP1",2,3
"ENSG00000074211","ENSG00000074211","PPP2R2C",3,3
"ENSG00000179010","ENSG00000179010","MRFAP1",2,3
"ENSG00000163993","ENSG00000163993","S100P",3,3
"ENSG00000169744","ENSG00000169744","LDB2",3,3
"ENSG00000151552","ENSG00000151552","QDPR",3,3
"ENSG00000185774","ENSG00000185774","KCNIP4",3,3
"ENSG00000169851","ENSG00000169851","PCDH7",3,3
"ENSG00000163682","ENSG00000163682","RPL9",2,3
"ENSG00000154277","ENSG00000154277","UCHL1",3,3
"ENSG00000064042","ENSG00000064042","LIMCH1",2,3
"ENSG00000109180","ENSG00000109180","OCIAD1",3,3
"ENSG00000109189","ENSG00000109189","USP46",3,3
"ENSG00000072201","ENSG00000072201","LNX1",3,3
"ENSG00000171476","ENSG00000171476","HOPX",3,3
"ENSG00000163453","ENSG00000163453","IGFBP7",3,3
"ENSG00000132465","ENSG00000132465","JCHAIN",3,3
"ENSG00000169116","ENSG00000169116","PARM1",3,3
"ENSG00000138757","ENSG00000138757","G3BP2",3,3
"ENSG00000138760","ENSG00000138760","SCARB2",2,3
"ENSG00000118816","ENSG00000118816","CCNI",3,3
"ENSG00000152784","ENSG00000152784","PRDM8",3,3
"ENSG00000152795","ENSG00000152795","HNRNPDL",3,3
"ENSG00000145293","ENSG00000145293","ENOPH1",2,3
"ENSG00000145284","ENSG00000145284","SCD5",3,3
"ENSG00000163624","ENSG00000163624","CDS1",2,3
"ENSG00000109339","ENSG00000109339","MAPK10",3,3
"ENSG00000152583","ENSG00000152583","SPARCL1",3,3
"ENSG00000118785","ENSG00000118785","SPP1",3,3
"ENSG00000177432","ENSG00000177432","NAP1L5",3,3
"ENSG00000145335","ENSG00000145335","SNCA",3,3
"ENSG00000138698","ENSG00000138698","RAP1GDS1",2,3
"ENSG00000196616","ENSG00000196616","ADH1B",3,3
"ENSG00000164032","ENSG00000164032","H2AFZ",2,3
"ENSG00000138814","ENSG00000138814","PPP3CA",3,3
"ENSG00000138777","ENSG00000138777","PPA2",2,3
"ENSG00000109475","ENSG00000109475","RPL34",3,3
"ENSG00000145362","ENSG00000145362","ANK2",3,3
"ENSG00000145349","ENSG00000145349","CAMK2D",3,3
"ENSG00000164111","ENSG00000164111","ANXA5",2,3
"ENSG00000109390","ENSG00000109390","NDUFC1",2,3
"ENSG00000153130","ENSG00000153130","SCOC",3,3
"ENSG00000145425","ENSG00000145425","RPS3A",3,3
"ENSG00000109670","ENSG00000109670","FBXW7",3,3
"ENSG00000109654","ENSG00000109654","TRIM2",3,3
"ENSG00000061918","ENSG00000061918","GUCY1B1",3,3
"ENSG00000109738","ENSG00000109738","GLRB",3,3
"ENSG00000120251","ENSG00000120251","GRIA2",3,3
